model,imputation,param_model__C,log_C,param_model__min_samples_leaf,param_model__min_samples_split,metric,score,dataset
Logistic Regression,KNN,0.001,-6.907755278982137,,,f1,0.5020990788724167,Train
Logistic Regression,KNN,0.01,-4.605170185988091,,,f1,0.5020990788724167,Train
Logistic Regression,KNN,0.1,-2.3025850929940455,,,f1,0.5020990788724167,Train
Logistic Regression,KNN,1.0,0.0,,,f1,0.5020990788724167,Train
Logistic Regression,KNN,10.0,2.302585092994046,,,f1,0.5020990788724167,Train
Logistic Regression,KNN,100.0,4.605170185988092,,,f1,0.5020990788724167,Train
Support Vector Machine,KNN,0.001,-6.907755278982137,,,f1,0.16493955094991364,Train
Support Vector Machine,KNN,0.01,-4.605170185988091,,,f1,0.5049359258110081,Train
Support Vector Machine,KNN,0.1,-2.3025850929940455,,,f1,0.50401318059043,Train
Support Vector Machine,KNN,1.0,0.0,,,f1,0.5045422750532316,Train
Support Vector Machine,KNN,10.0,2.302585092994046,,,f1,0.508087893802886,Train
Support Vector Machine,KNN,100.0,4.605170185988092,,,f1,0.5116802692905759,Train
Decision Tree,KNN,,,1,2,f1,0.5502855707310627,Train
Decision Tree,KNN,,,1,5,f1,0.5471900654807649,Train
Decision Tree,KNN,,,1,10,f1,0.542713490090938,Train
Decision Tree,KNN,,,1,15,f1,0.5396215762646558,Train
Decision Tree,KNN,,,1,20,f1,0.5375611737032977,Train
Decision Tree,KNN,,,2,2,f1,0.5436393266745689,Train
Decision Tree,KNN,,,2,5,f1,0.5428612010603299,Train
Decision Tree,KNN,,,2,10,f1,0.5396214893888912,Train
Decision Tree,KNN,,,2,15,f1,0.5368648263105875,Train
Decision Tree,KNN,,,2,20,f1,0.5354119636965963,Train
Decision Tree,KNN,,,5,2,f1,0.5331439884362578,Train
Decision Tree,KNN,,,5,5,f1,0.5331439884362578,Train
Decision Tree,KNN,,,5,10,f1,0.5331439884362578,Train
Decision Tree,KNN,,,5,15,f1,0.531657881003412,Train
Decision Tree,KNN,,,5,20,f1,0.5311873476513891,Train
Random Forest,KNN,,,1,2,f1,0.5442276502348609,Train
Random Forest,KNN,,,1,5,f1,0.5404054440172396,Train
Random Forest,KNN,,,1,10,f1,0.5363034965253174,Train
Random Forest,KNN,,,1,15,f1,0.533867838617755,Train
Random Forest,KNN,,,1,20,f1,0.5319912043294176,Train
Random Forest,KNN,,,2,2,f1,0.5385851026433136,Train
Random Forest,KNN,,,2,5,f1,0.5381331393151816,Train
Random Forest,KNN,,,2,10,f1,0.5352768495156199,Train
Random Forest,KNN,,,2,15,f1,0.5332789715898149,Train
Random Forest,KNN,,,2,20,f1,0.5316346658585507,Train
